itr,wall,itr_time,loss,bpd,fe,total_time,grad_norm,kinetic_energy,jacobian_norm2
232,3174.8731,13.5539,1.8756,1.6257,800.0,18.0000,7.2194,20.2882,4.6995
233,3188.5219,13.6488,1.8768,1.6140,800.0,18.0000,14.3819,21.5567,4.7250
234,3201.9597,13.4378,1.8651,1.5953,800.0,18.0000,14.9202,22.2343,4.7410
235,3215.3927,13.4330,1.8815,1.6189,800.0,18.0000,11.6053,21.5910,4.6770
236,3228.7521,13.3594,1.8569,1.6000,800.0,18.0000,11.8222,20.9561,4.7271
237,3242.4643,13.7122,1.8491,1.6034,800.0,18.0000,6.6889,19.8826,4.6894
238,3256.0997,13.6353,1.8482,1.5989,800.0,18.0000,7.0867,20.2130,4.7149
239,3269.7096,13.6100,1.8367,1.5760,800.0,18.0000,10.8957,21.3205,4.7514
240,3283.2627,13.5531,1.8464,1.5792,800.0,18.0000,10.4685,21.9664,4.7471
241,3296.8405,13.5778,1.8289,1.5601,800.0,18.0000,7.3239,22.1073,4.7700
242,3310.3012,13.4607,1.8362,1.5669,800.0,18.0000,10.6461,22.1728,4.7535
243,3323.8527,13.5516,1.8296,1.5667,800.0,18.0000,8.2305,21.5423,4.7440
244,3337.3010,13.4483,1.8163,1.5555,800.0,18.0000,7.3859,21.2957,4.7812
245,3350.8018,13.5008,1.8202,1.5565,800.0,18.0000,5.9943,21.6286,4.7381
246,3364.4327,13.6308,1.8216,1.5589,800.0,18.0000,6.7078,21.5534,4.7192
247,3378.0462,13.6135,1.8080,1.5417,800.0,18.0000,7.4883,21.9151,4.7215
248,3391.5833,13.5371,1.8067,1.5377,800.0,18.0000,11.1222,22.1667,4.7311
249,3404.9933,13.4100,1.8280,1.5715,800.0,18.0000,13.9717,20.9655,4.6909
250,3418.7503,13.7569,1.8222,1.5672,800.0,18.0000,12.0878,20.8099,4.6810
251,3432.3355,13.5853,1.8044,1.5551,800.0,18.0000,8.8474,20.2547,4.6765
252,3446.0174,13.6819,1.7981,1.5451,800.0,18.0000,12.6471,20.5940,4.7094
253,3459.5574,13.5400,1.7989,1.5380,800.0,18.0000,14.4933,21.3944,4.7016
254,3472.9466,13.3892,1.7934,1.5315,800.0,18.0000,20.6675,21.4692,4.7144
255,3486.5863,13.6397,1.8214,1.5722,800.0,18.0000,22.0250,20.2246,4.6909
256,3500.1402,13.5539,1.7942,1.5427,800.0,18.0000,23.3970,20.4411,4.7067
257,3513.7115,13.5713,1.8189,1.5742,800.0,18.0000,28.7930,19.7739,4.7006
258,3527.1936,13.4822,1.8097,1.5668,800.0,18.0000,25.1447,19.6842,4.6029
259,3540.7947,13.6011,1.7796,1.5476,800.0,18.0000,19.9281,18.4874,4.7106
260,3554.4778,13.6830,1.7701,1.5329,800.0,18.0000,7.5407,19.0632,4.6600
261,3568.0309,13.5531,1.7941,1.5306,800.0,18.0000,23.7730,21.6901,4.6556
262,3581.6978,13.6669,1.7769,1.5147,800.0,18.0000,30.0553,21.4676,4.7555
263,3595.3870,13.6893,1.7748,1.5229,800.0,18.0000,19.8191,20.4979,4.6883
264,3608.9846,13.5975,1.7562,1.5138,800.0,18.0000,8.8505,19.5040,4.7325
265,3622.6043,13.6197,1.7644,1.5148,800.0,18.0000,16.6588,20.2126,4.7465
266,3636.1500,13.5457,1.7674,1.4879,800.0,18.0000,12.5584,23.2614,4.6867
267,3649.7511,13.6010,1.7479,1.4591,800.0,18.0000,15.3816,24.1531,4.7196
268,3663.2397,13.4887,1.7472,1.4801,800.0,18.0000,16.5913,21.9812,4.7298
269,3676.7545,13.5148,1.7320,1.4790,800.0,18.0000,7.6201,20.6407,4.6596
270,3690.3630,13.6085,1.7399,1.4903,800.0,18.0000,14.2955,20.3047,4.6571
271,3703.8329,13.4699,1.7202,1.4696,800.0,18.0000,7.0406,20.4008,4.6593
272,3717.4172,13.5843,1.7159,1.4547,800.0,18.0000,12.8683,21.4468,4.6779
273,3731.0849,13.6677,1.7141,1.4401,800.0,18.0000,14.3155,22.7439,4.6555
274,3744.6632,13.5783,1.7123,1.4426,800.0,18.0000,18.7486,22.3088,4.6618
275,3758.2810,13.6178,1.7175,1.4604,800.0,18.0000,20.8778,21.0124,4.6984
276,3771.7455,13.4645,1.6698,1.4197,800.0,18.0000,7.7460,20.2823,4.7262
277,3785.4710,13.7255,1.6902,1.4331,800.0,18.0000,15.5517,21.0456,4.6660
278,3799.0019,13.5309,1.7051,1.4360,800.0,18.0000,25.3249,22.1943,4.7120
279,3812.3497,13.3478,1.7758,1.5265,800.0,18.0000,30.9981,20.3095,4.6242
280,3825.9189,13.5692,1.7669,1.5367,800.0,18.0000,25.7434,18.3367,4.6742
281,3839.5115,13.5926,1.7482,1.5134,800.0,18.0000,22.8061,18.9008,4.5748
282,3853.0571,13.5456,1.6980,1.4653,800.0,18.0000,22.5185,18.7596,4.5075
283,3866.6011,13.5440,1.7168,1.4808,800.0,18.0000,25.3202,19.0991,4.5018
284,3880.2814,13.6803,1.6946,1.4328,800.0,18.0000,23.4299,21.6741,4.5042
285,3893.6250,13.3436,1.7173,1.4670,800.0,18.0000,18.7889,20.4698,4.5567
